"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"RSM00024661","1938-01-14","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -315",",,r"," -393",",,r",,," -352",",,r"
"RSM00024661","1938-01-15","64.0","130.3","208.0","SEGEN KYUEL, RS","    2",",,r",,," -390",",,r"," -461",",,r",,," -425",",,r"
"RSM00024661","1938-01-16","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -400",",,r"," -451",",,r",,," -412",",,r"
"RSM00024661","1938-01-17","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -402",",,r"," -474",",,r",,," -438",",,r"
"RSM00024661","1938-01-18","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -436",",,r"," -495",",,r",,," -457",",,r"
"RSM00024661","1938-01-19","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -441",",,r"," -486",",,r",,," -456",",,r"
"RSM00024661","1938-01-20","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -441",",,r"," -499",",,r",,," -466",",,r"
"RSM00024661","1938-01-21","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,," -456",",,r"," -518",",,r",,," -490",",,r"
"RSM00024661","1938-01-22","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -396",",,r"," -486",",,r",,," -420",",,r"
"RSM00024661","1938-01-23","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -241",",,r"," -501",",,r",,," -454",",,r"
"RSM00024661","1938-01-24","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -236",",,r"," -456",",,r",,," -450",",,r"
"RSM00024661","1938-01-25","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -398",",,r"," -471",",,r",,," -422",",,r"
"RSM00024661","1938-01-26","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -398",",,r"," -465",",,r",,," -424",",,r"
"RSM00024661","1938-01-27","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -345",",,r"," -428",",,r",,," -388",",,r"
"RSM00024661","1938-01-28","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -261",",,r"," -441",",,r",,," -348",",,r"
"RSM00024661","1938-01-29","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -256",",,r"," -417",",,r",,," -400",",,r"
"RSM00024661","1938-01-30","64.0","130.3","208.0","SEGEN KYUEL, RS","    8",",,r",,," -358",",,r"," -406",",,r",,," -381",",,r"
"RSM00024661","1938-01-31","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,," -386",",,r"," -456",",,r",,," -409",",,r"
"RSM00024661","1938-02-01","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -340",",,r"," -419",",,r",,," -368",",,r"
"RSM00024661","1938-02-02","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -310",",,r"," -396",",,r",,," -358",",,r"
"RSM00024661","1938-02-03","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -278",",,r"," -422",",,r",,," -394",",,r"
"RSM00024661","1938-02-04","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -410",",,r"," -486",",,r",,," -426",",,r"
"RSM00024661","1938-02-05","64.0","130.3","208.0","SEGEN KYUEL, RS","    7",",,r",,," -366",",,r"," -413",",,r",,," -376",",,r"
"RSM00024661","1938-02-06","64.0","130.3","208.0","SEGEN KYUEL, RS","    5",",,r",,," -314",",,r"," -400",",,r",,," -354",",,r"
"RSM00024661","1938-02-07","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -318",",,r"," -431",",,r",,," -377",",,r"
"RSM00024661","1938-02-08","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -346",",,r"," -461",",,r",,," -412",",,r"
"RSM00024661","1938-02-09","64.0","130.3","208.0","SEGEN KYUEL, RS","    2",",,r",,," -328",",,r"," -397",",,r",,," -357",",,r"
"RSM00024661","1938-02-10","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,," -311",",,r"," -396",",,r",,," -356",",,r"
"RSM00024661","1938-02-11","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -281",",,r"," -403",",,r",,," -346",",,r"
"RSM00024661","1938-02-12","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -199",",,r"," -434",",,r",,," -329",",,r"
"RSM00024661","1938-02-13","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -197",",,r"," -364",",,r",,," -245",",,r"
"RSM00024661","1938-02-14","64.0","130.3","208.0","SEGEN KYUEL, RS","    2",",,r",,," -332",",,r"," -397",",,r",,," -360",",,r"
"RSM00024661","1938-02-15","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,," -311",",,r"," -371",",,r",,," -359",",,r"
"RSM00024661","1938-02-16","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -316",",,r"," -441",",,r",,," -384",",,r"
"RSM00024661","1938-02-17","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -296",",,r"," -405",",,r",,," -344",",,r"
"RSM00024661","1938-02-18","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -264",",,r"," -408",",,r",,," -331",",,r"
"RSM00024661","1938-02-19","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -228",",,r"," -307",",,r",,," -284",",,r"
"RSM00024661","1938-02-20","64.0","130.3","208.0","SEGEN KYUEL, RS","   12",",,r",,," -231",",,r"," -363",",,r",,," -294",",,r"
"RSM00024661","1938-02-21","64.0","130.3","208.0","SEGEN KYUEL, RS","   25",",,r",,," -155",",,r"," -233",",,r",,," -197",",,r"
"RSM00024661","1938-02-22","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -125",",,r"," -215",",,r",,," -189",",,r"
"RSM00024661","1938-02-23","64.0","130.3","208.0","SEGEN KYUEL, RS","    2",",,r",,," -212",",,r"," -363",",,r",,," -338",",,r"
"RSM00024661","1938-02-24","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -224",",,r"," -456",",,r",,," -374",",,r"
"RSM00024661","1938-02-25","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -253",",,r"," -387",",,r",,," -316",",,r"
"RSM00024661","1938-02-26","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,," -261",",,r"," -372",",,r",,," -316",",,r"
"RSM00024661","1938-02-27","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -210",",,r"," -359",",,r",,," -300",",,r"
"RSM00024661","1938-02-28","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -261",",,r"," -359",",,r",,," -315",",,r"
"RSM00024661","1938-03-01","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -246",",,r"," -379",",,r",,," -325",",,r"
"RSM00024661","1938-03-02","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -251",",,r"," -398",",,r",,," -332",",,r"
"RSM00024661","1938-03-03","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -260",",,r"," -394",",,r",,," -328",",,r"
"RSM00024661","1938-03-04","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -220",",,r"," -340",",,r",,," -278",",,r"
"RSM00024661","1938-03-05","64.0","130.3","208.0","SEGEN KYUEL, RS","    5",",,r",,," -234",",,r"," -335",",,r",,," -284",",,r"
"RSM00024661","1938-03-06","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -200",",,r"," -432",",,r",,," -288",",,r"
"RSM00024661","1938-03-07","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -170",",,r"," -264",",,r",,," -194",",,r"
"RSM00024661","1938-03-08","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -135",",,r"," -220",",,r",,," -168",",,r"
"RSM00024661","1938-03-09","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -154",",,r"," -319",",,r",,," -242",",,r"
"RSM00024661","1938-03-10","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -180",",,r"," -341",",,r",,," -261",",,r"
"RSM00024661","1938-03-11","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -180",",,r"," -371",",,r",,," -277",",,r"
"RSM00024661","1938-03-12","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -154",",,r"," -371",",,r",,," -250",",,r"
"RSM00024661","1938-03-13","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -160",",,r"," -340",",,r",,," -242",",,r"
"RSM00024661","1938-03-14","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -137",",,r"," -364",",,r",,," -248",",,r"
"RSM00024661","1938-03-15","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -128",",,r"," -330",",,r",,," -233",",,r"
"RSM00024661","1938-03-16","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -154",",,r"," -301",",,r",,," -224",",,r"
"RSM00024661","1938-03-17","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -135",",,r"," -288",",,r",,," -218",",,r"
"RSM00024661","1938-03-18","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,," -147",",,r"," -322",",,r",,," -208",",,r"
"RSM00024661","1938-03-19","64.0","130.3","208.0","SEGEN KYUEL, RS","   24",",,r",,," -115",",,r"," -202",",,r",,," -149",",,r"
"RSM00024661","1938-03-20","64.0","130.3","208.0","SEGEN KYUEL, RS","   41",",,r",,," -114",",,r"," -180",",,r",,," -141",",,r"
"RSM00024661","1938-03-21","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -111",",,r"," -331",",,r",,," -220",",,r"
"RSM00024661","1938-03-22","64.0","130.3","208.0","SEGEN KYUEL, RS","    4",",,r",,," -119",",,r"," -250",",,r",,," -177",",,r"
"RSM00024661","1938-03-23","64.0","130.3","208.0","SEGEN KYUEL, RS","  103",",,r",,,"  -73",",,r"," -134",",,r",,," -110",",,r"
"RSM00024661","1938-03-24","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -111",",,r"," -252",",,r",,," -184",",,r"
"RSM00024661","1938-03-25","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -131",",,r"," -310",",,r",,," -221",",,r"
"RSM00024661","1938-03-26","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -129",",,r"," -288",",,r",,," -208",",,r"
"RSM00024661","1938-03-27","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -126",",,r"," -265",",,r",,," -190",",,r"
"RSM00024661","1938-03-28","64.0","130.3","208.0","SEGEN KYUEL, RS","   66",",,r",,,"  -85",",,r"," -140",",,r",,," -113",",,r"
"RSM00024661","1938-03-29","64.0","130.3","208.0","SEGEN KYUEL, RS","   43",",,r",,,"  -54",",,r"," -127",",,r",,,"  -84",",,r"
"RSM00024661","1938-03-30","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  -70",",,r"," -219",",,r",,," -146",",,r"
"RSM00024661","1938-03-31","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,,"  -51",",,r"," -130",",,r",,,"  -92",",,r"
"RSM00024661","1938-04-01","64.0","130.3","208.0","SEGEN KYUEL, RS","    8",",,r",,,"  -67",",,r"," -154",",,r",,,"  -96",",,r"
"RSM00024661","1938-04-02","64.0","130.3","208.0","SEGEN KYUEL, RS","   58",",,r",,,"  -51",",,r"," -211",",,r",,," -122",",,r"
"RSM00024661","1938-04-03","64.0","130.3","208.0","SEGEN KYUEL, RS","    5",",,r",,," -177",",,r"," -288",",,r",,," -214",",,r"
"RSM00024661","1938-04-04","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -139",",,r"," -293",",,r",,," -201",",,r"
"RSM00024661","1938-04-05","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -154",",,r"," -294",",,r",,," -198",",,r"
"RSM00024661","1938-04-06","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -114",",,r"," -207",",,r",,," -162",",,r"
"RSM00024661","1938-04-07","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  -44",",,r"," -186",",,r",,,"  -95",",,r"
"RSM00024661","1938-04-08","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  -32",",,r","  -86",",,r",,,"  -52",",,r"
"RSM00024661","1938-04-09","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  -30",",,r"," -141",",,r",,,"  -74",",,r"
"RSM00024661","1938-04-10","64.0","130.3","208.0","SEGEN KYUEL, RS","    7",",,r",,,"  -30",",,r","  -78",",,r",,,"  -56",",,r"
"RSM00024661","1938-04-11","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"  -13",",,r"," -156",",,r",,,"  -75",",,r"
"RSM00024661","1938-04-12","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"   -9",",,r"," -151",",,r",,,"  -68",",,r"
"RSM00024661","1938-04-13","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"   25",",,r","  -79",",,r",,,"  -29",",,r"
"RSM00024661","1938-04-14","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   25",",,r"," -131",",,r",,,"  -56",",,r"
"RSM00024661","1938-04-15","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   21",",,r","  -70",",,r",,,"  -21",",,r"
"RSM00024661","1938-04-16","64.0","130.3","208.0","SEGEN KYUEL, RS","   18",",,r",,,"   39",",,r","  -25",",,r",,,"    6",",,r"
"RSM00024661","1938-04-17","64.0","130.3","208.0","SEGEN KYUEL, RS","   19",",,r",,,"   29",",,r","  -11",",,r",,,"   -2",",,r"
"RSM00024661","1938-04-18","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,,"   42",",,r"," -103",",,r",,,"  -26",",,r"
"RSM00024661","1938-04-19","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   17",",,r","  -75",",,r",,,"  -16",",,r"
"RSM00024661","1938-04-20","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"   20",",,r"," -106",",,r",,,"  -38",",,r"
"RSM00024661","1938-04-21","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  -40",",,r"," -183",",,r",,,"  -97",",,r"
"RSM00024661","1938-04-22","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"  -41",",,r"," -206",",,r",,,"  -97",",,r"
"RSM00024661","1938-04-23","64.0","130.3","208.0","SEGEN KYUEL, RS","   23",",,r",,,"   -2",",,r","  -63",",,r",,,"  -35",",,r"
"RSM00024661","1938-04-24","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   36",",,r","  -79",",,r",,,"   -6",",,r"
"RSM00024661","1938-04-25","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   33",",,r","  -14",",,r",,,"   -3",",,r"
"RSM00024661","1938-04-26","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"    8",",,r","  -50",",,r",,,"  -22",",,r"
"RSM00024661","1938-04-27","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   13",",,r","  -52",",,r",,,"  -20",",,r"
"RSM00024661","1938-04-28","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   40",",,r","  -38",",,r",,,"    6",",,r"
"RSM00024661","1938-04-29","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   56",",,r","   12",",,r",,,"   35",",,r"
"RSM00024661","1938-04-30","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   60",",,r","  -11",",,r",,,"   28",",,r"
"RSM00024661","1938-05-01","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   52",",,r","   -1",",,r",,,"   20",",,r"
"RSM00024661","1938-05-02","64.0","130.3","208.0","SEGEN KYUEL, RS","    1",",,r",,,"   24",",,r","  -25",",,r",,,"    2",",,r"
"RSM00024661","1938-05-03","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"   34",",,r","  -20",",,r",,,"    5",",,r"
"RSM00024661","1938-05-04","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"   46",",,r","   -1",",,r",,,"   22",",,r"
"RSM00024661","1938-05-05","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   46",",,r","   -4",",,r",,,"   28",",,r"
"RSM00024661","1938-05-06","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   40",",,r","  -23",",,r",,,"   -3",",,r"
"RSM00024661","1938-05-07","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"    8",",,r","  -50",",,r",,,"  -20",",,r"
"RSM00024661","1938-05-08","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   32",",,r","  -46",",,r",,,"   -6",",,r"
"RSM00024661","1938-05-09","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   48",",,r","  -28",",,r",,,"   13",",,r"
"RSM00024661","1938-05-10","64.0","130.3","208.0","SEGEN KYUEL, RS","    6",",,r",,,"   47",",,r","  -20",",,r",,,"   19",",,r"
"RSM00024661","1938-05-11","64.0","130.3","208.0","SEGEN KYUEL, RS","   15",",,r",,,"   40",",,r","  -40",",,r",,,"    8",",,r"
"RSM00024661","1938-05-12","64.0","130.3","208.0","SEGEN KYUEL, RS","   85",",,r",,,"   32",",,r","    2",",,r",,,"   17",",,r"
"RSM00024661","1938-05-13","64.0","130.3","208.0","SEGEN KYUEL, RS","  135",",,r",,,"   14",",,r","  -62",",,r",,,"   -8",",,r"
"RSM00024661","1938-05-14","64.0","130.3","208.0","SEGEN KYUEL, RS","  129",",,r",,,"   44",",,r","  -26",",,r",,,"    6",",,r"
"RSM00024661","1938-05-15","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   75",",,r","   18",",,r",,,"   49",",,r"
"RSM00024661","1938-05-16","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"   97",",,r","    0",",,r",,,"   51",",,r"
"RSM00024661","1938-05-17","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  100",",,r","  -28",",,r",,,"   51",",,r"
"RSM00024661","1938-05-18","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  132",",,r","   50",",,r",,,"   98",",,r"
"RSM00024661","1938-05-19","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  160",",,r","   31",",,r",,,"  118",",,r"
"RSM00024661","1938-05-20","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  160",",,r","   10",",,r",,,"  104",",,r"
"RSM00024661","1938-05-21","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  164",",,r","    1",",,r",,,"   99",",,r"
"RSM00024661","1938-05-22","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  157",",,r","    2",",,r",,,"  106",",,r"
"RSM00024661","1938-05-23","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  147",",,r","   36",",,r",,,"  100",",,r"
"RSM00024661","1938-05-24","64.0","130.3","208.0","SEGEN KYUEL, RS","   29",",,r",,,"  165",",,r","    8",",,r",,,"   82",",,r"
"RSM00024661","1938-05-25","64.0","130.3","208.0","SEGEN KYUEL, RS","   97",",,r",,,"  102",",,r","   51",",,r",,,"   70",",,r"
"RSM00024661","1938-05-26","64.0","130.3","208.0","SEGEN KYUEL, RS","  238",",,r",,,"   78",",,r","   16",",,r",,,"   37",",,r"
"RSM00024661","1938-05-27","64.0","130.3","208.0","SEGEN KYUEL, RS","   28",",,r",,,"  129",",,r","   21",",,r",,,"   70",",,r"
"RSM00024661","1938-05-28","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  170",",,r","   17",",,r",,,"   98",",,r"
"RSM00024661","1938-05-29","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"  105",",,r","   38",",,r",,,"   67",",,r"
"RSM00024661","1938-05-30","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  135",",,r","   13",",,r",,,"   86",",,r"
"RSM00024661","1938-05-31","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  170",",,r","    3",",,r",,,"  114",",,r"
"RSM00024661","1938-06-01","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  187",",,r","  104",",,r",,,"  151",",,r"
"RSM00024661","1938-06-02","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  193",",,r","   73",",,r",,,"  145",",,r"
"RSM00024661","1938-06-03","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  206",",,r","   50",",,r",,,"  143",",,r"
"RSM00024661","1938-06-04","64.0","130.3","208.0","SEGEN KYUEL, RS","   39",",,r",,,"  197",",,r","   41",",,r",,,"  115",",,r"
"RSM00024661","1938-06-05","64.0","130.3","208.0","SEGEN KYUEL, RS","  130",",,r",,,"  159",",,r","   77",",,r",,,"  116",",,r"
"RSM00024661","1938-06-06","64.0","130.3","208.0","SEGEN KYUEL, RS","  108",",,r",,,"  143",",,r","   56",",,r",,,"   91",",,r"
"RSM00024661","1938-06-07","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  176",",,r","   -7",",,r",,,"  110",",,r"
"RSM00024661","1938-06-08","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  175",",,r","   92",",,r",,,"  146",",,r"
"RSM00024661","1938-06-09","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  201",",,r","  106",",,r",,,"  154",",,r"
"RSM00024661","1938-06-10","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  179",",,r","   46",",,r",,,"  122",",,r"
"RSM00024661","1938-06-11","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  172",",,r","   95",",,r",,,"  140",",,r"
"RSM00024661","1938-06-12","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"  215",",,r","  116",",,r",,,"  157",",,r"
"RSM00024661","1938-06-13","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  226",",,r","   72",",,r",,,"  170",",,r"
"RSM00024661","1938-06-14","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  211",",,r","  126",",,r",,,"  169",",,r"
"RSM00024661","1938-06-15","64.0","130.3","208.0","SEGEN KYUEL, RS","    2",",,r",,,"  228",",,r","   67",",,r",,,"  148",",,r"
"RSM00024661","1938-06-16","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,,"  219",",,r","  121",",,r",,,"  176",",,r"
"RSM00024661","1938-06-17","64.0","130.3","208.0","SEGEN KYUEL, RS","   48",",,r",,,"  193",",,r","  110",",,r",,,"  126",",,r"
"RSM00024661","1938-06-18","64.0","130.3","208.0","SEGEN KYUEL, RS","  167",",,r",,,"  158",",,r","  120",",,r",,,"  138",",,r"
"RSM00024661","1938-06-19","64.0","130.3","208.0","SEGEN KYUEL, RS","  117",",,r",,,"  173",",,r","  142",",,r",,,"  158",",,r"
"RSM00024661","1938-06-20","64.0","130.3","208.0","SEGEN KYUEL, RS","   61",",,r",,,"  212",",,r","  152",",,r",,,"  176",",,r"
"RSM00024661","1938-06-21","64.0","130.3","208.0","SEGEN KYUEL, RS","   64",",,r",,,"  220",",,r","  131",",,r",,,"  177",",,r"
"RSM00024661","1938-06-22","64.0","130.3","208.0","SEGEN KYUEL, RS","   98",",,r",,,"  207",",,r","  131",",,r",,,"  166",",,r"
"RSM00024661","1938-06-23","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  231",",,r","  156",",,r",,,"  197",",,r"
"RSM00024661","1938-06-24","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  270",",,r","  148",",,r",,,"  209",",,r"
"RSM00024661","1938-06-25","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  271",",,r","   82",",,r",,,"  196",",,r"
"RSM00024661","1938-06-26","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,,"  252",",,r","  114",",,r",,,"  205",",,r"
"RSM00024661","1938-06-27","64.0","130.3","208.0","SEGEN KYUEL, RS","   83",",,r",,,"  219",",,r","  123",",,r",,,"  163",",,r"
"RSM00024661","1938-06-28","64.0","130.3","208.0","SEGEN KYUEL, RS","  109",",,r",,,"  221",",,r","  161",",,r",,,"  181",",,r"
